year,sex,age_x,qx,lx,dx,upcase_lx,upcase_tx,ex
2004,Total,45,0.00167,97760,164,97679,3500480,35.8
2004,Total,46,0.00184,97597,179,97507,3402801,34.9
2004,Total,47,0.00203,97418,198,97319,3305294,33.9
2004,Total,48,0.00228,97220,221,97109,3207975,33
2004,Total,49,0.00255,96999,247,96875,3110866,32.1
2004,Total,50,0.00283,96752,274,96615,3013991,31.2
2004,Total,51,0.00312,96478,301,96327,2917376,30.2
2004,Total,52,0.00346,96177,333,96010,2821048,29.3
2004,Total,53,0.00388,95844,372,95658,2725038,28.4
2004,Total,54,0.00435,95472,415,95264,2629380,27.5
2004,Total,55,0.00482,95057,459,94828,2534116,26.7
2004,Total,56,0.00532,94598,503,94347,2439288,25.8
2004,Total,57,0.00588,94095,553,93818,2344942,24.9
2004,Total,58,0.00652,93542,610,93237,2251123,24.1
2004,Total,59,0.0072,92932,670,92598,2157886,23.2
2004,Total,60,0.0079,92263,729,91898,2065289,22.4
2004,Total,61,0.00864,91534,791,91139,1973390,21.6
2004,Total,62,0.00957,90743,868,90309,1882252,20.7
2004,Total,63,0.01076,89875,967,89391,1791943,19.9
2004,Total,64,0.01213,88907,1079,88368,1702552,19.1
2004,Total,65,0.01354,87829,1189,87234,1614183,18.4
2004,Total,66,0.01499,86640,1299,85990,1526949,17.6
2004,Total,67,0.01657,85341,1414,84634,1440959,16.9
2004,Total,68,0.01835,83927,1540,83157,1356325,16.2
2004,Total,69,0.02023,82387,1667,81553,1273169,15.5
2004,Total,70,0.02214,80719,1787,79826,1191616,14.8
2004,Total,71,0.02416,78933,1907,77979,1111790,14.1
2004,Total,72,0.02658,77026,2047,76002,1033811,13.4
2004,Total,73,0.02961,74979,2220,73868,957808,12.8
2004,Total,74,0.03299,72758,2401,71558,883940,12.1
2004,Total,75,0.03645,70358,2565,69075,812382,11.5
2004,Total,76,0.04003,67793,2714,66436,743307,11
2004,Total,77,0.04406,65079,2867,63646,676870,10.4
2004,Total,78,0.04883,62212,3038,60693,613224,9.9
2004,Total,79,0.05404,59174,3198,57576,552531,9.3
2004,Total,80,0.05935,55977,3322,54316,494956,8.8
2004,Total,81,0.06467,52655,3405,50952,440640,8.4
2004,Total,82,0.07027,49249,3461,47519,389688,7.9
2004,Total,83,0.07645,45788,3501,44038,342169,7.5
2004,Total,84,0.08321,42288,3519,40528,298131,7.1
2004,Total,85,0.09049,38769,3508,37015,257602,6.6
2004,Total,86,0.09838,35261,3469,33526,220588,6.3
2004,Total,87,0.10691,31792,3399,30093,187061,5.9
2004,Total,88,0.11613,28393,3297,26744,156969,5.5
2004,Total,89,0.1261,25096,3165,23514,130224,5.2
2004,Total,90,0.13686,21931,3002,20430,106711,4.9
2004,Total,91,0.14847,18930,2810,17524,86280,4.6
2004,Total,92,0.16098,16119,2595,14822,68756,4.3
2004,Total,93,0.17444,13524,2359,12345,53934,4
2004,Total,94,0.18891,11165,2109,10111,41589,3.7
2004,Total,95,0.20445,9056,1851,8130,31479,3.5
2004,Total,96,0.22111,7204,1593,6408,23348,3.2
2004,Total,97,0.23894,5612,1341,4941,16940,3
2004,Total,98,0.25801,4271,1102,3720,11999,2.8
2004,Total,99,0.27836,3169,882,2728,8280,2.6
2004,Total,100_and_over,1,2287,2287,5552,5552,2.4
2004,Male,0,0.00255,100000,255,99791,7711192,77.1
2004,Male,1,0.0002,99745,20,99735,7611401,76.3
2004,Male,2,0.0002,99725,20,99715,7511667,75.3
2004,Male,3,0.00018,99705,18,99696,7411952,74.3
2004,Male,4,0.00017,99686,17,99678,7312256,73.4
2004,Male,5,0.00015,99670,15,99662,7212578,72.4
2004,Male,6,0.00013,99655,13,99648,7112916,71.4
2004,Male,7,0.00012,99642,12,99635,7013268,70.4
2004,Male,8,0.00012,99629,12,99623,6913632,69.4
2004,Male,9,0.00012,99618,12,99612,6814009,68.4
2004,Male,10,0.00012,99606,12,99600,6714397,67.4
2004,Male,11,0.00012,99594,12,99588,6614797,66.4
2004,Male,12,0.00013,99582,13,99576,6515209,65.4
2004,Male,13,0.00017,99569,17,99561,6415633,64.4
2004,Male,14,0.00021,99552,21,99541,6316072,63.4
2004,Male,15,0.00026,99531,26,99518,6216531,62.5
2004,Male,16,0.00031,99505,31,99489,6117013,61.5
2004,Male,17,0.00036,99473,36,99455,6017524,60.5
2004,Male,18,0.00042,99437,42,99416,5918069,59.5
2004,Male,19,0.00049,99395,49,99371,5818653,58.5
2004,Male,20,0.00056,99347,55,99319,5719282,57.6
2004,Male,21,0.00062,99291,61,99261,5619963,56.6
2004,Male,22,0.00066,99230,65,99197,5520702,55.6
